Timestamp,What is your name?,Describe what your company does in a few sentences.,What is your company's name?,Add a link to your company's logo.,Add a link to your company's website.,When did you graduate from Purdue?,What industry is your company in?
2/24/19 14:54,Prah Veluvolu,Mimir Classroom provides the tools for instructors to efficiently teach Computer Science courses of any scale without compromising quality of education for students.,Mimir,https://media.licdn.com/dms/image/C4E0BAQGP0AkapCt8qA/company-logo_400_400/0?e=1553126400&v=beta&t=YG9LSpZfHRgqZ1xfDJkzr4D3udM-sIsz67zXxtsXiJk,https://www.mimirhq.com/,5/19/14,EdTech
2/24/19 14:54,Prah Veluvolu,Mimir Classroom provides the tools for instructors to efficiently teach Computer Science courses of any scale without compromising quality of education for students.,Mimir,https://media.licdn.com/dms/image/C4E0BAQGP0AkapCt8qA/company-logo_400_400/0?e=1553126400&v=beta&t=YG9LSpZfHRgqZ1xfDJkzr4D3udM-sIsz67zXxtsXiJk,https://www.mimirhq.com/,5/19/14,EdTech
2/24/19 14:54,Prah Veluvolu,Mimir Classroom provides the tools for instructors to efficiently teach Computer Science courses of any scale without compromising quality of education for students.,Mimir,https://media.licdn.com/dms/image/C4E0BAQGP0AkapCt8qA/company-logo_400_400/0?e=1553126400&v=beta&t=YG9LSpZfHRgqZ1xfDJkzr4D3udM-sIsz67zXxtsXiJk,https://www.mimirhq.com/,5/19/14,EdTech
